name,competition,discipline,score,points,rank
sebrle,decastar,x100m,11.04,8217,1
sebrle,decastar,long_jump,7.58,8217,1
sebrle,decastar,shot_put,14.83,8217,1
sebrle,decastar,high_jump,2.07,8217,1
sebrle,decastar,x400m,49.81,8217,1
sebrle,decastar,x110m_hurdle,14.69,8217,1
sebrle,decastar,discus,43.75,8217,1
sebrle,decastar,pole_vault,5.02,8217,1
sebrle,decastar,javeline,63.19,8217,1
sebrle,decastar,x1500m,291.7,8217,1
clay,decastar,x100m,10.76,8122,2
clay,decastar,long_jump,7.4,8122,2
clay,decastar,shot_put,14.26,8122,2
clay,decastar,high_jump,1.86,8122,2
clay,decastar,x400m,49.37,8122,2
clay,decastar,x110m_hurdle,14.05,8122,2
clay,decastar,discus,50.72,8122,2
clay,decastar,pole_vault,4.92,8122,2
clay,decastar,javeline,60.15,8122,2
clay,decastar,x1500m,301.5,8122,2
karpov,decastar,x100m,11.02,8099,3
karpov,decastar,long_jump,7.3,8099,3
karpov,decastar,shot_put,14.77,8099,3
karpov,decastar,high_jump,2.04,8099,3
karpov,decastar,x400m,48.37,8099,3
karpov,decastar,x110m_hurdle,14.09,8099,3
karpov,decastar,discus,48.95,8099,3
karpov,decastar,pole_vault,4.92,8099,3
karpov,decastar,javeline,50.31,8099,3
karpov,decastar,x1500m,300.2,8099,3
bernard,decastar,x100m,11.02,8067,4
bernard,decastar,long_jump,7.23,8067,4
bernard,decastar,shot_put,14.25,8067,4
bernard,decastar,high_jump,1.92,8067,4
bernard,decastar,x400m,48.93,8067,4
bernard,decastar,x110m_hurdle,14.99,8067,4
bernard,decastar,discus,40.87,8067,4
bernard,decastar,pole_vault,5.32,8067,4
bernard,decastar,javeline,62.77,8067,4
bernard,decastar,x1500m,280.1,8067,4
yurkov,decastar,x100m,11.34,8036,5
yurkov,decastar,long_jump,7.09,8036,5
yurkov,decastar,shot_put,15.19,8036,5
yurkov,decastar,high_jump,2.1,8036,5
yurkov,decastar,x400m,50.42,8036,5
yurkov,decastar,x110m_hurdle,15.31,8036,5
yurkov,decastar,discus,46.26,8036,5
yurkov,decastar,pole_vault,4.72,8036,5
yurkov,decastar,javeline,63.44,8036,5
yurkov,decastar,x1500m,276.4,8036,5
warners,decastar,x100m,11.11,8030,6
warners,decastar,long_jump,7.6,8030,6
warners,decastar,shot_put,14.31,8030,6
warners,decastar,high_jump,1.98,8030,6
warners,decastar,x400m,48.68,8030,6
warners,decastar,x110m_hurdle,14.23,8030,6
warners,decastar,discus,41.1,8030,6
warners,decastar,pole_vault,4.92,8030,6
warners,decastar,javeline,51.77,8030,6
warners,decastar,x1500m,278.1,8030,6
zsivoczky,decastar,x100m,11.13,8004,7
zsivoczky,decastar,long_jump,7.3,8004,7
zsivoczky,decastar,shot_put,13.48,8004,7
zsivoczky,decastar,high_jump,2.01,8004,7
zsivoczky,decastar,x400m,48.62,8004,7
zsivoczky,decastar,x110m_hurdle,14.17,8004,7
zsivoczky,decastar,discus,45.67,8004,7
zsivoczky,decastar,pole_vault,4.42,8004,7
zsivoczky,decastar,javeline,55.37,8004,7
zsivoczky,decastar,x1500m,268,8004,7
mcmullen,decastar,x100m,10.83,7995,8
mcmullen,decastar,long_jump,7.31,7995,8
mcmullen,decastar,shot_put,13.76,7995,8
mcmullen,decastar,high_jump,2.13,7995,8
mcmullen,decastar,x400m,49.91,7995,8
mcmullen,decastar,x110m_hurdle,14.38,7995,8
mcmullen,decastar,discus,44.41,7995,8
mcmullen,decastar,pole_vault,4.42,7995,8
mcmullen,decastar,javeline,56.37,7995,8
mcmullen,decastar,x1500m,285.1,7995,8
martineau,decastar,x100m,11.64,7802,9
martineau,decastar,long_jump,6.81,7802,9
martineau,decastar,shot_put,14.57,7802,9
martineau,decastar,high_jump,1.95,7802,9
martineau,decastar,x400m,50.14,7802,9
martineau,decastar,x110m_hurdle,14.93,7802,9
martineau,decastar,discus,47.6,7802,9
martineau,decastar,pole_vault,4.92,7802,9
martineau,decastar,javeline,52.33,7802,9
martineau,decastar,x1500m,262.1,7802,9
hernu,decastar,x100m,11.37,7733,10
hernu,decastar,long_jump,7.56,7733,10
hernu,decastar,shot_put,14.41,7733,10
hernu,decastar,high_jump,1.86,7733,10
hernu,decastar,x400m,51.1,7733,10
hernu,decastar,x110m_hurdle,15.06,7733,10
hernu,decastar,discus,44.99,7733,10
hernu,decastar,pole_vault,4.82,7733,10
hernu,decastar,javeline,57.19,7733,10
hernu,decastar,x1500m,285.1,7733,10
barras,decastar,x100m,11.33,7708,11
barras,decastar,long_jump,6.97,7708,11
barras,decastar,shot_put,14.09,7708,11
barras,decastar,high_jump,1.95,7708,11
barras,decastar,x400m,49.48,7708,11
barras,decastar,x110m_hurdle,14.48,7708,11
barras,decastar,discus,42.1,7708,11
barras,decastar,pole_vault,4.72,7708,11
barras,decastar,javeline,55.4,7708,11
barras,decastar,x1500m,282,7708,11
nool,decastar,x100m,11.33,7651,12
nool,decastar,long_jump,7.27,7651,12
nool,decastar,shot_put,12.68,7651,12
nool,decastar,high_jump,1.98,7651,12
nool,decastar,x400m,49.2,7651,12
nool,decastar,x110m_hurdle,15.29,7651,12
nool,decastar,discus,37.92,7651,12
nool,decastar,pole_vault,4.62,7651,12
nool,decastar,javeline,57.44,7651,12
nool,decastar,x1500m,266.6,7651,12
bourguignon,decastar,x100m,11.36,7313,13
bourguignon,decastar,long_jump,6.8,7313,13
bourguignon,decastar,shot_put,13.46,7313,13
bourguignon,decastar,high_jump,1.86,7313,13
bourguignon,decastar,x400m,51.16,7313,13
bourguignon,decastar,x110m_hurdle,15.67,7313,13
bourguignon,decastar,discus,40.49,7313,13
bourguignon,decastar,pole_vault,5.02,7313,13
bourguignon,decastar,javeline,54.68,7313,13
bourguignon,decastar,x1500m,291.7,7313,13
sebrle,olympicg,x100m,10.85,8893,1
sebrle,olympicg,long_jump,7.84,8893,1
sebrle,olympicg,shot_put,16.36,8893,1
sebrle,olympicg,high_jump,2.12,8893,1
sebrle,olympicg,x400m,48.36,8893,1
sebrle,olympicg,x110m_hurdle,14.05,8893,1
sebrle,olympicg,discus,48.72,8893,1
sebrle,olympicg,pole_vault,5,8893,1
sebrle,olympicg,javeline,70.52,8893,1
sebrle,olympicg,x1500m,280.01,8893,1
clay,olympicg,x100m,10.44,8820,2
clay,olympicg,long_jump,7.96,8820,2
clay,olympicg,shot_put,15.23,8820,2
clay,olympicg,high_jump,2.06,8820,2
clay,olympicg,x400m,49.19,8820,2
clay,olympicg,x110m_hurdle,14.13,8820,2
clay,olympicg,discus,50.11,8820,2
clay,olympicg,pole_vault,4.9,8820,2
clay,olympicg,javeline,69.71,8820,2
clay,olympicg,x1500m,282,8820,2
karpov,olympicg,x100m,10.5,8725,3
karpov,olympicg,long_jump,7.81,8725,3
karpov,olympicg,shot_put,15.93,8725,3
karpov,olympicg,high_jump,2.09,8725,3
karpov,olympicg,x400m,46.81,8725,3
karpov,olympicg,x110m_hurdle,13.97,8725,3
karpov,olympicg,discus,51.65,8725,3
karpov,olympicg,pole_vault,4.6,8725,3
karpov,olympicg,javeline,55.54,8725,3
karpov,olympicg,x1500m,278.11,8725,3
macey,olympicg,x100m,10.89,8414,4
macey,olympicg,long_jump,7.47,8414,4
macey,olympicg,shot_put,15.73,8414,4
macey,olympicg,high_jump,2.15,8414,4
macey,olympicg,x400m,48.97,8414,4
macey,olympicg,x110m_hurdle,14.56,8414,4
macey,olympicg,discus,48.34,8414,4
macey,olympicg,pole_vault,4.4,8414,4
macey,olympicg,javeline,58.46,8414,4
macey,olympicg,x1500m,265.42,8414,4
warners,olympicg,x100m,10.62,8343,5
warners,olympicg,long_jump,7.74,8343,5
warners,olympicg,shot_put,14.48,8343,5
warners,olympicg,high_jump,1.97,8343,5
warners,olympicg,x400m,47.97,8343,5
warners,olympicg,x110m_hurdle,14.01,8343,5
warners,olympicg,discus,43.73,8343,5
warners,olympicg,pole_vault,4.9,8343,5
warners,olympicg,javeline,55.39,8343,5
warners,olympicg,x1500m,278.05,8343,5
zsivoczky,olympicg,x100m,10.91,8287,6
zsivoczky,olympicg,long_jump,7.14,8287,6
zsivoczky,olympicg,shot_put,15.31,8287,6
zsivoczky,olympicg,high_jump,2.12,8287,6
zsivoczky,olympicg,x400m,49.4,8287,6
zsivoczky,olympicg,x110m_hurdle,14.95,8287,6
zsivoczky,olympicg,discus,45.62,8287,6
zsivoczky,olympicg,pole_vault,4.7,8287,6
zsivoczky,olympicg,javeline,63.45,8287,6
zsivoczky,olympicg,x1500m,269.54,8287,6
hernu,olympicg,x100m,10.97,8237,7
hernu,olympicg,long_jump,7.19,8237,7
hernu,olympicg,shot_put,14.65,8237,7
hernu,olympicg,high_jump,2.03,8237,7
hernu,olympicg,x400m,48.73,8237,7
hernu,olympicg,x110m_hurdle,14.25,8237,7
hernu,olympicg,discus,44.72,8237,7
hernu,olympicg,pole_vault,4.8,8237,7
hernu,olympicg,javeline,57.76,8237,7
hernu,olympicg,x1500m,264.35,8237,7
nool,olympicg,x100m,10.8,8235,8
nool,olympicg,long_jump,7.53,8235,8
nool,olympicg,shot_put,14.26,8235,8
nool,olympicg,high_jump,1.88,8235,8
nool,olympicg,x400m,48.81,8235,8
nool,olympicg,x110m_hurdle,14.8,8235,8
nool,olympicg,discus,42.05,8235,8
nool,olympicg,pole_vault,5.4,8235,8
nool,olympicg,javeline,61.33,8235,8
nool,olympicg,x1500m,276.33,8235,8
bernard,olympicg,x100m,10.69,8225,9
bernard,olympicg,long_jump,7.48,8225,9
bernard,olympicg,shot_put,14.8,8225,9
bernard,olympicg,high_jump,2.12,8225,9
bernard,olympicg,x400m,49.13,8225,9
bernard,olympicg,x110m_hurdle,14.17,8225,9
bernard,olympicg,discus,44.75,8225,9
bernard,olympicg,pole_vault,4.4,8225,9
bernard,olympicg,javeline,55.27,8225,9
bernard,olympicg,x1500m,276.31,8225,9
schwarzl,olympicg,x100m,10.98,8102,10
schwarzl,olympicg,long_jump,7.49,8102,10
schwarzl,olympicg,shot_put,14.01,8102,10
schwarzl,olympicg,high_jump,1.94,8102,10
schwarzl,olympicg,x400m,49.76,8102,10
schwarzl,olympicg,x110m_hurdle,14.25,8102,10
schwarzl,olympicg,discus,42.43,8102,10
schwarzl,olympicg,pole_vault,5.1,8102,10
schwarzl,olympicg,javeline,56.32,8102,10
schwarzl,olympicg,x1500m,273.56,8102,10
pogorelov,olympicg,x100m,10.95,8084,11
pogorelov,olympicg,long_jump,7.31,8084,11
pogorelov,olympicg,shot_put,15.1,8084,11
pogorelov,olympicg,high_jump,2.06,8084,11
pogorelov,olympicg,x400m,50.79,8084,11
pogorelov,olympicg,x110m_hurdle,14.21,8084,11
pogorelov,olympicg,discus,44.6,8084,11
pogorelov,olympicg,pole_vault,5,8084,11
pogorelov,olympicg,javeline,53.45,8084,11
pogorelov,olympicg,x1500m,287.63,8084,11
schoenbeck,olympicg,x100m,10.9,8077,12
schoenbeck,olympicg,long_jump,7.3,8077,12
schoenbeck,olympicg,shot_put,14.77,8077,12
schoenbeck,olympicg,high_jump,1.88,8077,12
schoenbeck,olympicg,x400m,50.3,8077,12
schoenbeck,olympicg,x110m_hurdle,14.34,8077,12
schoenbeck,olympicg,discus,44.41,8077,12
schoenbeck,olympicg,pole_vault,5,8077,12
schoenbeck,olympicg,javeline,60.89,8077,12
schoenbeck,olympicg,x1500m,278.82,8077,12
barras,olympicg,x100m,11.14,8067,13
barras,olympicg,long_jump,6.99,8067,13
barras,olympicg,shot_put,14.91,8067,13
barras,olympicg,high_jump,1.94,8067,13
barras,olympicg,x400m,49.41,8067,13
barras,olympicg,x110m_hurdle,14.37,8067,13
barras,olympicg,discus,44.83,8067,13
barras,olympicg,pole_vault,4.6,8067,13
barras,olympicg,javeline,64.55,8067,13
barras,olympicg,x1500m,267.09,8067,13
smith,olympicg,x100m,10.85,8023,14
smith,olympicg,long_jump,6.81,8023,14
smith,olympicg,shot_put,15.24,8023,14
smith,olympicg,high_jump,1.91,8023,14
smith,olympicg,x400m,49.27,8023,14
smith,olympicg,x110m_hurdle,14.01,8023,14
smith,olympicg,discus,49.02,8023,14
smith,olympicg,pole_vault,4.2,8023,14
smith,olympicg,javeline,61.52,8023,14
smith,olympicg,x1500m,272.74,8023,14
averyanov,olympicg,x100m,10.55,8021,15
averyanov,olympicg,long_jump,7.34,8021,15
averyanov,olympicg,shot_put,14.44,8021,15
averyanov,olympicg,high_jump,1.94,8021,15
averyanov,olympicg,x400m,49.72,8021,15
averyanov,olympicg,x110m_hurdle,14.39,8021,15
averyanov,olympicg,discus,39.88,8021,15
averyanov,olympicg,pole_vault,4.8,8021,15
averyanov,olympicg,javeline,54.51,8021,15
averyanov,olympicg,x1500m,271.02,8021,15
ojaniemi,olympicg,x100m,10.68,8006,16
ojaniemi,olympicg,long_jump,7.5,8006,16
ojaniemi,olympicg,shot_put,14.97,8006,16
ojaniemi,olympicg,high_jump,1.94,8006,16
ojaniemi,olympicg,x400m,49.12,8006,16
ojaniemi,olympicg,x110m_hurdle,15.01,8006,16
ojaniemi,olympicg,discus,40.35,8006,16
ojaniemi,olympicg,pole_vault,4.6,8006,16
ojaniemi,olympicg,javeline,59.26,8006,16
ojaniemi,olympicg,x1500m,275.71,8006,16
smirnov,olympicg,x100m,10.89,7993,17
smirnov,olympicg,long_jump,7.07,7993,17
smirnov,olympicg,shot_put,13.88,7993,17
smirnov,olympicg,high_jump,1.94,7993,17
smirnov,olympicg,x400m,49.11,7993,17
smirnov,olympicg,x110m_hurdle,14.77,7993,17
smirnov,olympicg,discus,42.47,7993,17
smirnov,olympicg,pole_vault,4.7,7993,17
smirnov,olympicg,javeline,60.88,7993,17
smirnov,olympicg,x1500m,263.31,7993,17
qi,olympicg,x100m,11.06,7934,18
qi,olympicg,long_jump,7.34,7934,18
qi,olympicg,shot_put,13.55,7934,18
qi,olympicg,high_jump,1.97,7934,18
qi,olympicg,x400m,49.65,7934,18
qi,olympicg,x110m_hurdle,14.78,7934,18
qi,olympicg,discus,45.13,7934,18
qi,olympicg,pole_vault,4.5,7934,18
qi,olympicg,javeline,60.79,7934,18
qi,olympicg,x1500m,272.63,7934,18
drews,olympicg,x100m,10.87,7926,19
drews,olympicg,long_jump,7.38,7926,19
drews,olympicg,shot_put,13.07,7926,19
drews,olympicg,high_jump,1.88,7926,19
drews,olympicg,x400m,48.51,7926,19
drews,olympicg,x110m_hurdle,14.01,7926,19
drews,olympicg,discus,40.11,7926,19
drews,olympicg,pole_vault,5,7926,19
drews,olympicg,javeline,51.53,7926,19
drews,olympicg,x1500m,274.21,7926,19
parkhomenko,olympicg,x100m,11.14,7918,20
parkhomenko,olympicg,long_jump,6.61,7918,20
parkhomenko,olympicg,shot_put,15.69,7918,20
parkhomenko,olympicg,high_jump,2.03,7918,20
parkhomenko,olympicg,x400m,51.04,7918,20
parkhomenko,olympicg,x110m_hurdle,14.88,7918,20
parkhomenko,olympicg,discus,41.9,7918,20
parkhomenko,olympicg,pole_vault,4.8,7918,20
parkhomenko,olympicg,javeline,65.82,7918,20
parkhomenko,olympicg,x1500m,277.94,7918,20
terek,olympicg,x100m,10.92,7893,21
terek,olympicg,long_jump,6.94,7893,21
terek,olympicg,shot_put,15.15,7893,21
terek,olympicg,high_jump,1.94,7893,21
terek,olympicg,x400m,49.56,7893,21
terek,olympicg,x110m_hurdle,15.12,7893,21
terek,olympicg,discus,45.62,7893,21
terek,olympicg,pole_vault,5.3,7893,21
terek,olympicg,javeline,50.62,7893,21
terek,olympicg,x1500m,290.36,7893,21
gomez,olympicg,x100m,11.08,7865,22
gomez,olympicg,long_jump,7.26,7865,22
gomez,olympicg,shot_put,14.57,7865,22
gomez,olympicg,high_jump,1.85,7865,22
gomez,olympicg,x400m,48.61,7865,22
gomez,olympicg,x110m_hurdle,14.41,7865,22
gomez,olympicg,discus,40.95,7865,22
gomez,olympicg,pole_vault,4.4,7865,22
gomez,olympicg,javeline,60.71,7865,22
gomez,olympicg,x1500m,269.7,7865,22
turi,olympicg,x100m,11.08,7708,23
turi,olympicg,long_jump,6.91,7708,23
turi,olympicg,shot_put,13.62,7708,23
turi,olympicg,high_jump,2.03,7708,23
turi,olympicg,x400m,51.67,7708,23
turi,olympicg,x110m_hurdle,14.26,7708,23
turi,olympicg,discus,39.83,7708,23
turi,olympicg,pole_vault,4.8,7708,23
turi,olympicg,javeline,59.34,7708,23
turi,olympicg,x1500m,290.01,7708,23
lorenzo,olympicg,x100m,11.1,7592,24
lorenzo,olympicg,long_jump,7.03,7592,24
lorenzo,olympicg,shot_put,13.22,7592,24
lorenzo,olympicg,high_jump,1.85,7592,24
lorenzo,olympicg,x400m,49.34,7592,24
lorenzo,olympicg,x110m_hurdle,15.38,7592,24
lorenzo,olympicg,discus,40.22,7592,24
lorenzo,olympicg,pole_vault,4.5,7592,24
lorenzo,olympicg,javeline,58.36,7592,24
lorenzo,olympicg,x1500m,263.08,7592,24
karlivans,olympicg,x100m,11.33,7583,25
karlivans,olympicg,long_jump,7.26,7583,25
karlivans,olympicg,shot_put,13.3,7583,25
karlivans,olympicg,high_jump,1.97,7583,25
karlivans,olympicg,x400m,50.54,7583,25
karlivans,olympicg,x110m_hurdle,14.98,7583,25
karlivans,olympicg,discus,43.34,7583,25
karlivans,olympicg,pole_vault,4.5,7583,25
karlivans,olympicg,javeline,52.92,7583,25
karlivans,olympicg,x1500m,278.67,7583,25
korkizoglou,olympicg,x100m,10.86,7573,26
korkizoglou,olympicg,long_jump,7.07,7573,26
korkizoglou,olympicg,shot_put,14.81,7573,26
korkizoglou,olympicg,high_jump,1.94,7573,26
korkizoglou,olympicg,x400m,51.16,7573,26
korkizoglou,olympicg,x110m_hurdle,14.96,7573,26
korkizoglou,olympicg,discus,46.07,7573,26
korkizoglou,olympicg,pole_vault,4.7,7573,26
korkizoglou,olympicg,javeline,53.05,7573,26
korkizoglou,olympicg,x1500m,317,7573,26
uldal,olympicg,x100m,11.23,7495,27
uldal,olympicg,long_jump,6.99,7495,27
uldal,olympicg,shot_put,13.53,7495,27
uldal,olympicg,high_jump,1.85,7495,27
uldal,olympicg,x400m,50.95,7495,27
uldal,olympicg,x110m_hurdle,15.09,7495,27
uldal,olympicg,discus,43.01,7495,27
uldal,olympicg,pole_vault,4.5,7495,27
uldal,olympicg,javeline,60,7495,27
uldal,olympicg,x1500m,281.7,7495,27
casarsa,olympicg,x100m,11.36,7404,28
casarsa,olympicg,long_jump,6.68,7404,28
casarsa,olympicg,shot_put,14.92,7404,28
casarsa,olympicg,high_jump,1.94,7404,28
casarsa,olympicg,x400m,53.2,7404,28
casarsa,olympicg,x110m_hurdle,15.39,7404,28
casarsa,olympicg,discus,48.66,7404,28
casarsa,olympicg,pole_vault,4.4,7404,28
casarsa,olympicg,javeline,58.62,7404,28
casarsa,olympicg,x1500m,296.12,7404,28
